,qiita_sample_name,box_id,cage_id,collection_timepoint,collection_timestamp,date_colonized,diet,elevation,elevation_units,empo_1,empo_2,empo_3,env_biome,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_scientific_name,host_subject_id,host_taxid,host_weight,host_weight_units,iacuc_institute,iacuc_protocol_id,isolate_number,latitude,latitude_units,life_stage,longitude,longitude_units,mouse_dob,mouse_id,mouse_strain,qiita_study_id,sample_type,scientific_name,sex,taxon_id,tube_id,mouse,dam,sire,date_collected,bacteria_strain,extraction_method,extraction_kit,run,plate,observed_features
26N_Month3_1,12986.26N.Month3.1,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,1,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-1_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4621
26N_Month3_10,12986.26N.Month3.10,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,10,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-10_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4623
26N_Month3_11,12986.26N.Month3.11,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,11,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-11_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4790
26N_Month3_12,12986.26N.Month3.12,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,12,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-12_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5459
26N_Month3_13,12986.26N.Month3.13,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,13,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-13_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4621
26N_Month3_14,12986.26N.Month3.14,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,14,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-14_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5317
26N_Month3_15,12986.26N.Month3.15,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,15,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-15_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4625
26N_Month3_16,12986.26N.Month3.16,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,16,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-16_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4623
26N_Month3_17,12986.26N.Month3.17,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,17,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-17_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4624
26N_Month3_18,12986.26N.Month3.18,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,18,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-18_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4625
26N_Month3_19,12986.26N.Month3.19,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,19,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-19_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4625
26N_Month3_2,12986.26N.Month3.2,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,2,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-2_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4625
26N_Month3_20,12986.26N.Month3.20,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,20,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-20_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5412
26N_Month3_21,12986.26N.Month3.21,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,21,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-21_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5395
26N_Month3_22,12986.26N.Month3.22,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,22,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-22_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4624
26N_Month3_23,12986.26N.Month3.23,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,23,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-23_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4624
26N_Month3_24,12986.26N.Month3.24,4.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,24,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-24_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4625
26N_Month3_3,12986.26N.Month3.3,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,3,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-3_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4626
26N_Month3_4,12986.26N.Month3.4,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,4,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-4_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5378
26N_Month3_5,12986.26N.Month3.5,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,5,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-5_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4623
26N_Month3_6,12986.26N.Month3.6,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,6,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-6_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4624
26N_Month3_7,12986.26N.Month3.7,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,7,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-7_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4623
26N_Month3_8,12986.26N.Month3.8,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,8,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-8_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5089
26N_Month3_9,12986.26N.Month3.9,1.0,26.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,26N,10090.0,not provided,g,UCSD,S16285,9,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17 0:00,26N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,26N-9_Month3,26N,A2,A,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5526
27L_Month3_1,12986.27L.Month3.1,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,1,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-1_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5453
27L_Month3_10,12986.27L.Month3.10,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,10,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-10_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4625
27L_Month3_10p,12986.27L.Month3.10.pos,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,10p,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-10_Month3_GFPpos,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5051
27L_Month3_11,12986.27L.Month3.11,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,11,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-11_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4624
27L_Month3_11p,12986.27L.Month3.11.pos,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,11p,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-11_Month3_GFPpos,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4664
27L_Month3_12,12986.27L.Month3.12,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,12,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-12_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4623
27L_Month3_12p,12986.27L.Month3.12.pos,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,12p,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-12_Month3_GFPpos,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4621
27L_Month3_13,12986.27L.Month3.13,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,13,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-13_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4623
27L_Month3_14,12986.27L.Month3.14,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,14,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-14_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5174
27L_Month3_15,12986.27L.Month3.15,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,15,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-15_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4622
27L_Month3_16,12986.27L.Month3.16,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,16,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-16_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4702
27L_Month3_17,12986.27L.Month3.17,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,17,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-17_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4624
27L_Month3_18,12986.27L.Month3.18,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,18,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-18_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4622
27L_Month3_19,12986.27L.Month3.19,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,19,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-19_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5379
27L_Month3_1p,12986.27L.Month3.1.pos,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,1p,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-1_Month3_GFPpos,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4621
27L_Month3_2,12986.27L.Month3.2,2.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,2,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-2_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4624
27L_Month3_20,12986.27L.Month3.20,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,20,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-20_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4622
27L_Month3_21,12986.27L.Month3.21,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,21,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-21_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5211
27L_Month3_22,12986.27L.Month3.22,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,22,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-22_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,4621
27L_Month3_23,12986.27L.Month3.23,4.0,27.0,Month3,10/17/17 10:00,7/12/17 0:00,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,21.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,27L,10090.0,not provided,g,UCSD,S16285,23,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17 0:00,27L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,27L-23_Month3,27L,B1,B,10/17/17,AZ20,filter,Qiagen UltraClean,1.0,,5332
