,qiita_sample_name,box_id,cage_id,collection_timepoint,collection_timestamp,date_colonized,diet,elevation,elevation_units,empo_1,empo_2,empo_3,env_biome,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_scientific_name,host_subject_id,host_taxid,host_weight,host_weight_units,iacuc_institute,iacuc_protocol_id,isolate_number,latitude,latitude_units,life_stage,longitude,longitude_units,mouse_dob,mouse_id,mouse_strain,qiita_study_id,sample_type,scientific_name,sex,taxon_id,tube_id,mouse,dam,sire,date_collected,bacteria_strain,extraction_method,extraction_kit,run,plate,observed_features
25N_Day3_15,12986.25N.Day3.15,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,15,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_15,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4723
25N_Day3_16,12986.25N.Day3.16,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,16,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_16,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,5085
25N_Day3_17,12986.25N.Day3.17,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,17,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_17,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4623
25N_Day3_19,12986.25N.Day3.19,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,19,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_19,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4623
25N_Day3_20,12986.25N.Day3.20,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,20,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_20,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4627
25N_Day3_21,12986.25N.Day3.21,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,21,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_21,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,5006
25N_Day3_22,12986.25N.Day3.22,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,22,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_22,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4669
25N_Day3_3,12986.25N.Day3.3,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,3,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_3,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,5195
25N_Day3_6,12986.25N.Day3.6,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,6,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_6,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4623
25N_Day3_8,12986.25N.Day3.8,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,8,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_8,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4674
28L_Day3_1,12986.28L.Day3.1,,28.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,10.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,28L,10090.0,not provided,g,UCSD,S16285,1,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,28L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,28L_Day3_1,28L,B1,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4621
28L_Day3_12,12986.28L.Day3.12,,28.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,10.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,28L,10090.0,not provided,g,UCSD,S16285,12,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,28L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,28L_Day3_12,28L,B1,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4624
28L_Day3_13,12986.28L.Day3.13,,28.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,10.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,28L,10090.0,not provided,g,UCSD,S16285,13,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,28L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,28L_Day3_13,28L,B1,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4699
28L_Day3_14,12986.28L.Day3.14,,28.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,10.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,28L,10090.0,not provided,g,UCSD,S16285,14,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,28L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,28L_Day3_14,28L,B1,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4623
