	Axis1_17.97	Axis2_9.11	Axis3_4.54	Axis4_3.30	Axis5_2.87
41B_Month6_8	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41B_Month6_9	0.008152687	-0.004801322	0.001315007	-0.00059475	0.000567332
41L_Day3_10	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Day3_11	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Day3_12	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Day3_13	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Day3_14	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Day3_15	-0.002031409	-0.007323972	0.019588461	0.012340423	0.01638239
41L_Day3_16	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Day3_17	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Day3_18	-0.009735306	0.008053803	-0.004431388	0.00343044	0.002708765
41L_Day3_19	-0.009735306	0.008053803	-0.004431388	0.00343044	0.002708765
41L_Day3_1	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Day3_20	-0.009735306	0.008053803	-0.004431388	0.00343044	0.002708765
41L_Day3_21	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Day3_22	-0.011751502	0.008918655	-0.005208506	0.004369183	-0.004274066
41L_Day3_23	0.011805207	-0.001161434	-0.002507649	0.00208079	-0.002897241
41L_Day3_24	0.007862327	-0.004975764	0.001212704	-0.000485945	0.000660515
41L_Day3_2	-0.009735306	0.008053803	-0.004431388	0.00343044	0.002708765
41L_Day3_3	-0.008601202	0.007960689	-0.004419381	0.003520599	0.002811021
41L_Day3_4	-0.008962206	0.007122066	-0.004858549	0.003893221	0.002488676
41L_Day3_5	-0.01180642	0.008765054	-0.005160026	0.004253252	-0.004261474
41L_Day3_6	-0.004605811	0.007756395	-0.002822765	0.00077541	-0.00162897
41L_Day3_7	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Day3_8	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41L_Day3_9	-0.009670543	0.008188129	-0.00448996	0.003490167	0.00270629
41L_Day7_10	-0.017008475	0.014070927	-0.012364837	-0.027618293	-0.00309988
41L_Day7_11	-0.01901698	0.018274174	-0.006613357	-0.001565529	0.000273873
41L_Day7_12	0.006248142	-0.002400325	0.001196905	-0.001069834	-0.00419968
41L_Day7_13	-0.003040655	0.003807652	-0.00251099	0.001110436	-0.003646144
41L_Day7_14	0.009070518	-0.004152849	0.001291254	-0.000500298	0.000779317
41L_Day7_15	0.006137955	-0.004448881	0.000893403	8.04E-05	-0.006215731
41L_Day7_17	0.006753168	-0.007356161	-0.005970936	-0.003273154	0.005991657
41L_Day7_18	-0.016032305	0.013376685	-0.014620712	-0.024720997	-0.005143837
41L_Day7_19	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41L_Day7_1	-0.002136289	0.003575352	-0.002036988	0.000307589	0.00314378
41L_Day7_20	0.007841108	-0.004934061	0.001288355	-0.000612521	0.000507607
41L_Day7_21	-0.016337746	0.011067088	-0.01637761	-0.02578586	-0.006281535
41L_Day7_22	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Day7_23	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Day7_24	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Day7_2	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41L_Day7_3	0.025742512	-0.007130475	0.000205234	0.002030852	0.005700802
41L_Day7_4	-0.014556229	0.011821811	-0.011352258	-0.028544833	-0.002606683
41L_Day7_5	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41L_Day7_6	-0.030531732	0.017499451	-0.020997272	-0.019864259	-0.012336256
41L_Day7_7	0.035601815	-0.003017027	-0.001874983	0.002258905	0.004745707
41L_Day7_8	0.006261593	-0.004382163	0.000890667	0.000150954	-0.006184048
41L_Day7_9	-0.046653393	0.038659939	0.018641174	-0.022222152	-0.011798119
41LL_Day7_10	0.028117161	-0.020857673	0.040960333	-0.031186239	0.022689615
41LL_Day7_11	0.026246918	-0.034505089	0.022827637	0.006730054	-0.018959465
41LL_Day7_12	-0.033220593	0.029973901	0.022811069	-0.000832361	-0.002690359
41LL_Day7_13	0.034372366	-0.017400628	-0.004096959	-0.024007112	0.008441809
41LL_Day7_14	0.01143276	-0.002939822	-0.001352884	0.000852004	0.001512521
41LL_Day7_15	0.009010824	-0.004208629	0.001230518	-0.000560135	0.00068755
41LL_Day7_16	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Day7_17	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Day7_18	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Day7_19	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Day7_1	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41LL_Day7_20	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Day7_21	-0.013288635	0.011208772	-0.011037273	-0.030246093	0.005933731
41LL_Day7_22	0.043387979	-0.014353121	-0.001529002	-0.000403851	0.014679759
41LL_Day7_23	-0.004905669	0.004840499	-0.002776512	-0.000631211	-0.003705579
41LL_Day7_24	0.012205713	0.013848031	0.046520018	0.008054386	-0.014174294
41LL_Day7_2	0.021714873	-0.011996737	-0.000867771	-0.006347972	0.00451116
41LL_Day7_3	0.007970528	-0.004881737	0.001264494	-0.000594062	0.00054386
41LL_Day7_4	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Day7_5	0.008047958	-0.002890828	0.00176481	-0.001872798	0.002829171
41LL_Day7_6	-0.015363	0.01092742	-0.012391237	-0.023686423	-0.004988551
41LL_Day7_7	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Day7_8	-0.009892708	0.009652285	-0.003218142	-0.007398617	-0.000177445
41LL_Day7_9	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_10	-0.001902223	0.004132397	-0.002478167	0.000370709	0.00300283
41LL_Month3_11	0.008009105	-0.004816909	0.001389039	-0.000652864	0.000709002
41LL_Month3_12	0.026232854	-0.014244304	-0.006697149	0.005217838	-0.012132808
41LL_Month3_13	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_14	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_15	0.009134627	-0.004629074	0.001120263	-0.000468865	0.000487571
41LL_Month3_16	0.02793738	-0.008392944	0.009546303	0.006937705	-0.013232029
41LL_Month3_17	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_18	0.009580493	-0.003358652	-0.0082596	-0.026728899	0.001668542
41LL_Month3_19	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_1	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_20	-0.010429515	0.011789739	-0.004773694	0.0031459	0.004853916
41LL_Month3_21	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41LL_Month3_22	-0.004075598	0.004166125	-0.002661591	0.001164808	-0.00371697
41LL_Month3_23	0.043749976	-0.011602663	0.00377162	-0.008974413	-0.013647805
