	Axis1_7.01	Axis2_2.88	Axis3_2.11	Axis4_1.76	Axis5_1.46	Axis6_1.39	Axis7_1.31	Axis8_1.27	Axis9_1.25	Axis10_1.23
23L_Day7_2	-0.050073065	0.010567622	-0.015973498	-0.007056467	-0.002461276	-0.002091384	0.002602557	-0.0012081	0.000351747	4.80E-05
23L_Day7_3	-0.04841536	0.010187746	-0.016129327	-0.007233127	-0.002300605	-0.00161964	0.00242206	-0.0018922	-0.001090368	-0.000221164
23L_Day7_4	-0.047396688	0.010358726	-0.015783632	-0.006962453	-0.003257487	-0.002589865	0.00255813	-0.000448029	-0.000737875	0.000165207
23L_Day7_5	-0.00144241	-0.002997144	0.003312351	0.000347819	-0.000660578	-0.001428048	0.002918809	-0.003616079	-0.000782646	-0.002235281
23L_Day7_6	-0.003616831	-0.004205229	0.004007248	0.001077119	-0.001791061	-0.001454059	0.002176621	-0.002509498	-0.000109264	-0.002449644
23L_Day7_7	0.001830398	0.00065555	0.001253947	0.000838771	0.000333683	-8.21E-05	-0.000122657	0.000695888	-0.000389076	0.000158881
23L_Day7_8	0.002068281	0.000960613	0.000727356	0.00055324	0.000367076	4.68E-05	-0.000312037	0.000248301	-0.000924777	0.000144062
23L_Day7_9	-0.050787736	0.01050883	-0.016627767	-0.007981196	-0.002749104	-0.00251159	0.002488243	-0.001183084	0.000242707	-0.000261204
23LL_Day3_11	-0.008223288	-0.031302181	-0.02478715	0.003664697	-0.007058957	-0.00285983	0.003533586	-0.004582165	0.000890308	-0.00032629
23LL_Day3_13	0.075043355	-0.003607659	-0.03698094	0.034119714	-0.010204094	0.020976854	0.068240393	0.042440429	-0.024133155	-0.026195053
23LL_Day3_14	-3.15E-05	0.001220621	0.001635481	0.001684491	0.000780874	0.000500068	-0.001471335	0.001279789	-0.000248546	-0.000423797
23LL_Day3_16	-0.001983852	-0.002823091	0.003173777	0.000583366	-0.00085063	-0.001334426	0.002328902	-0.003754372	-8.46E-06	-0.002577171
23LL_Day3_17	-0.002401794	-0.011275322	0.014697303	-0.028667274	0.011495878	8.16E-05	-0.000338479	0.006603164	0.002982421	-0.003776107
23LL_Day3_19	-0.001851304	0.006379354	0.006625077	-0.005595129	0.008921872	-0.003435437	-0.004355958	-0.006691288	-0.002327957	-0.000351829
23LL_Day3_20	0.001877918	0.001090413	0.00106272	0.000758487	0.000816576	0.000563493	-0.00022541	7.85E-05	-0.000621096	-6.09E-05
23LL_Day3_23	0.004192882	-0.005907212	0.003332322	-0.000477874	-0.004918642	0.007490994	-0.001055744	0.006524999	-0.00451111	-0.011440227
23LL_Day3_24	0.002339237	0.001101348	0.000744882	0.000476526	0.000656003	0.000324995	-0.000267021	4.45E-05	-0.000600261	-0.000244639
23LL_Day3_2	0.00157641	0.000753941	0.000854667	0.000711143	0.000657849	0.000232607	-8.72E-05	0.00027882	-0.00053243	7.71E-06
23LL_Day3_3	0.001828163	0.000770371	0.000992008	0.000559381	0.000442115	0.000202771	-0.000247664	0.000356038	-0.000302749	-0.000290106
23LL_Day3_4	0.00145877	0.0010881	0.000814402	0.000880529	0.000594159	0.000448767	-0.000697145	-7.12E-05	-0.000610318	-2.99E-06
23LL_Day3_5	0.002227944	-0.040694624	-0.024190996	0.016085456	0.007989528	-0.004188461	0.011369531	-0.010276544	-0.007015905	-0.006856041
23LL_Day3_7	0.00079307	0.0013524	0.000892436	0.000401593	9.28E-05	0.000391168	-0.000362875	0.000502586	-0.000241149	-0.000337219
23LL_Day3_9	0.001653587	0.000959573	0.00107728	0.000924923	0.000663009	0.000218508	-1.41E-05	0.000364657	-0.000613536	8.44E-05
23LL_Day7_10	0.000973981	0.001320476	0.001085131	0.000624852	0.000627075	0.001072591	-0.000604883	0.000170364	-0.000313132	-0.000485528
23LL_Day7_11	0.00238602	0.001180221	0.000879619	0.000538494	0.00074623	0.000433284	-0.000157958	2.09E-05	-0.000545263	-0.000133684
23LL_Day7_12	0.002190832	0.000944377	0.001049965	0.000640147	0.000251429	-0.000166589	-0.000184138	0.000639714	-0.000472628	0.000149304
23LL_Day7_15	-0.004955502	-0.013484008	0.005279914	0.002737023	-0.01430616	-0.01688504	-0.00518646	-0.002066887	0.010066362	-0.004782171
23LL_Day7_16	-0.006388945	-0.006441831	0.013979175	0.000155298	-0.006127864	-0.00144472	-0.00277565	-0.00936413	-0.004496374	-0.00742552
23LL_Day7_17	0.006753129	-0.006178741	-0.000267977	0.00512313	-0.012528797	0.010561534	-0.015501379	-0.001442005	0.020999817	-0.010042229
23LL_Day7_18	0.002092496	0.00054918	0.001947467	0.001009465	0.000112888	-6.13E-05	-0.000214939	0.000401926	-0.000151795	0.000210715
23LL_Day7_19	-0.003375143	-0.0096977	0.008578511	-0.005157852	-0.011222942	0.003014841	-0.006338506	-0.014731759	0.005286134	-0.008637229
23LL_Day7_1	0.002197329	0.000918568	0.001490092	0.000802459	9.80E-05	0.00020215	-0.000359997	0.000131973	-0.000619131	0.000127921
23LL_Day7_20	-0.005784436	0.003224682	0.011606636	0.004670969	0.007064022	0.001579888	-0.00423117	-0.001498649	0.011299211	-0.004018893
23LL_Day7_23	0.00089709	0.000720933	0.000978898	0.000798074	0.000763094	0.000368094	-9.59E-05	0.000163895	-0.000433425	6.24E-05
23LL_Day7_24	0.015957779	-0.026323018	-0.021988552	0.006812439	-0.013544976	0.00347376	0.019106493	0.011275447	0.032554013	-0.005692824
23LL_Day7_2	0.002043276	0.00047085	0.001809874	0.00094696	2.15E-05	-0.000170241	-0.000324229	0.000425884	-0.000206783	9.99E-05
23LL_Day7_3	0.001032051	0.000802084	0.001836379	0.001283652	0.000663174	0.000258739	-3.23E-05	9.98E-05	-8.54E-05	0.000224969
23LL_Day7_4	0.001720089	0.000970599	0.001035475	0.000634845	0.000708609	0.000252257	-8.84E-05	0.000331962	-0.000327231	5.22E-05
23LL_Day7_5	0.001686241	0.000971911	0.001380989	0.000795517	9.13E-05	-0.000184135	-0.000267083	0.000531007	-0.000289774	0.000333789
23LL_Day7_6	0.001502313	0.000591661	0.001444953	0.00074531	-0.00019961	8.58E-05	-0.000333394	0.00042297	-0.000414085	5.47E-05
23LL_Day7_7	0.001550647	0.000670707	0.001582247	0.000807422	-0.000107863	0.000195143	-0.000223886	0.000398754	-0.000359657	0.000165809
23LL_Day7_8	0.001146278	0.000681761	0.001508644	0.000974838	0.000604283	0.000804311	-7.60E-05	-0.00035266	-0.000558975	9.97E-05
23LL_Day7_9	0.001923218	0.000847481	0.00143092	0.000748141	0.000458818	0.000576172	-0.000176719	-0.000159068	-0.000504384	-2.36E-05
23LL_Month10_10	0.010975114	-0.020118505	-0.007303415	-0.001920416	-0.021818308	-0.005431941	-0.003754688	0.00775401	-0.020491562	0.004602098
23LL_Month10_11	0.004272676	-0.008800165	-0.004076271	0.000627655	-0.000900218	0.00273857	-0.004101435	0.001414842	0.005096643	0.001331425
23LL_Month10_12	-0.001703754	-0.000641829	0.002078922	0.002148707	0.00115336	0.001088198	-0.000385012	0.001045111	0.000326431	-8.03E-05
23LL_Month10_13	-0.000228761	0.000144764	0.001106372	0.00166625	0.000831587	0.001355477	-0.001104937	0.000765919	-0.000505586	0.000248211
23LL_Month10_14	0.003728182	-0.004365938	-0.003021032	0.000705615	-0.000296262	0.002126927	-0.001792252	0.003222573	-0.000669316	0.001259686
23LL_Month10_15	-0.003877347	-0.006037159	0.004260056	-0.000610776	-0.002283891	0.002773107	0.011505075	-0.00064172	-0.014460716	-0.008203295
23LL_Month10_16	5.94E-05	0.000207098	0.002497894	0.001918225	0.000436035	0.000861603	-0.000482443	0.000658086	0.000287706	-0.00062454
23LL_Month10_17	0.000317876	-0.000118017	0.001516938	0.001353775	0.000146561	6.26E-05	-0.000253354	0.001031187	-0.000362896	0.000724314
23LL_Month10_18	0.007717875	-0.021038804	0.007204543	-0.009357895	-0.00941663	-0.00197662	0.000659069	-0.000558007	0.013074959	0.00161243
23LL_Month10_19	-0.002255918	-0.017684155	0.010126366	-0.027334872	0.014321524	0.00215412	-0.00208538	0.007887097	0.003854471	-0.00164627
23LL_Month10_1	-0.002905831	-0.016923949	0.000807778	-0.024904008	0.018705288	0.000679811	-0.002737868	0.017451838	0.01956614	-0.005387869
23LL_Month10_20	0.000494953	-0.000441267	0.001860425	0.001480759	0.000632306	0.000336591	-0.000126235	0.000784832	-0.000153899	0.000357435
23LL_Month10_21	-0.001049232	-0.000344208	0.001492591	0.002071197	0.000504282	0.000697973	-0.001258324	0.001006378	-0.000211353	0.000181189
23LL_Month10_22	0.000156682	-0.00033928	0.002088361	0.001802528	0.001076728	0.000905695	-0.000125734	0.000110968	-0.000129587	0.00065399
23LL_Month10_24	0.008283933	0.006923111	-0.003861957	0.003587608	0.007799023	-0.015183101	0.006053354	-0.004354229	0.008779545	-0.013315505
23LL_Month10_2	-0.002940484	-0.004476828	0.004179901	0.000949686	-0.000410714	-0.00129319	0.002735772	-0.001926589	-0.000515109	-0.001255945
23LL_Month10_3	-0.008486475	-0.000293498	-0.001523677	0.000222483	0.001158057	0.004816744	0.008529499	0.002796842	-0.013570871	-0.005833929
23LL_Month10_4	0.011448765	0.016102953	0.012775612	-0.001828574	0.001186456	-0.004848579	0.00332499	0.007989666	0.005872115	0.00319677
23LL_Month10_5	0.017433565	-0.014899461	-0.006701733	0.019953935	-0.008234923	0.016279941	-0.005158143	0.016721041	0.00073835	0.022637579
23LL_Month10_7	0.001608081	0.000138382	0.012833745	0.011955431	-0.001342621	-0.016524531	0.004986741	-0.003218653	0.010029271	-0.000406246
23LL_Month10_8	-6.17E-05	0.000191227	0.002155938	0.001708173	0.000483244	0.000794903	-0.000652795	0.000589742	2.29E-05	-0.000521108
23LL_Month10_9	0.006553376	-0.01597878	0.003842324	0.018069105	-0.015752263	0.007453579	0.021819393	0.02393677	0.005264069	-0.000617119
23LL_Month1_10	-0.005171919	-0.015949226	0.016817431	-0.03036994	0.010083398	-0.002187893	0.003404752	0.00193815	0.003954606	-0.006483892
23LL_Month1_11	0.008149444	-0.010599776	0.007066931	-0.002917975	-0.027816154	0.025237647	0.025770189	0.007055612	-0.013962038	-0.002639519
23LL_Month1_12	0.001588136	0.000458616	0.001695333	0.000873757	0.000313417	0.000232581	-0.000132998	0.000215633	-0.00027879	2.63E-05
23LL_Month1_13	-0.002877664	0.002049424	0.003081819	0.001103379	0.000135114	0.001374199	-0.001510581	-7.05E-05	-0.000961505	0.000669129
23LL_Month1_14	0.027535977	-0.007731004	0.007147977	-0.011453306	-0.008451103	0.017480552	0.001533401	-0.016050703	0.007978005	0.024007181
23LL_Month1_15	0.007346989	-0.002751343	0.003560667	-0.007943024	-0.013239014	-0.003006099	-0.002792369	-0.006374464	-0.003991682	-0.010020766
23LL_Month1_16	0.00026358	0.000985086	0.001158113	0.001046521	0.000604718	0.000532759	-0.000352251	0.000175627	-0.000143743	3.35E-05
23LL_Month1_17	-0.000153041	0.000594435	0.001127486	0.001850249	-0.000568934	0.000344766	-0.00117833	0.000694711	0.000205998	-0.000355047
23LL_Month1_18	-0.004638667	-0.00402955	0.011278368	0.003407653	0.000108476	-0.007167294	-0.005144149	-0.015699273	-0.007272092	0.000273827
23LL_Month1_19	0.013355589	-0.025537692	-0.017277982	0.010513526	0.001873384	0.012579163	-0.015862005	0.006330002	-0.004419542	-0.010471003
23LL_Month1_1	-0.002005048	0.014039861	0.009864323	0.008129568	-0.004145807	-0.006816658	0.003310037	-0.019312701	-0.004011881	0.004776407
23LL_Month1_20	0.000643209	0.001744247	0.000603624	0.000867268	0.000395238	0.000681795	-0.000760219	0.000259527	-0.000478875	-3.99E-05
23LL_Month1_22	0.011909284	-0.003897282	-0.000553796	0.002090426	0.001799851	-0.006480728	0.005613866	0.009442749	-0.013768832	0.004553494
23LL_Month1_23	0.009881272	0.024422901	0.00463862	-0.001229611	-0.005166765	0.006227438	-0.010117815	0.016674634	0.006116273	-0.00708487
23LL_Month1_3	-0.002081303	-0.011372942	0.014690926	-0.02860892	0.011680229	0.000290872	-3.81E-05	0.006106815	0.00379823	-0.003591835
23LL_Month1_4	0.010172597	0.020029232	0.002370737	0.005561952	-0.003087509	-0.00419664	0.001156438	-0.000643024	-0.004900741	0.012928468
23LL_Month1_5	-0.002811942	-0.002383112	0.003173001	0.00034748	-0.000905535	-0.001312043	0.002342685	-0.003573271	-0.000282637	-0.003503721
23LL_Month1_6	-0.00403782	-0.021189514	-0.018488272	0.010219687	0.010134991	-0.001889494	-0.002508331	0.001202538	-0.002629033	0.00132965
23LL_Month1_7	0.00928934	0.0012516	0.005629668	0.013713399	-0.005167664	0.029636937	-0.015575122	0.000681521	0.008912188	-0.009824844
23LL_Month1_8	0.000369689	-0.020197064	0.00109596	-0.014594485	0.002340065	-0.001063082	0.001805912	0.001189047	0.003187136	-0.004667276
23LL_Month1_9	-0.001031434	-0.006025511	0.017150411	0.004223649	-0.00101562	-0.014516349	-0.024052857	-0.010884145	0.010306336	-0.007950262
23LL_Month3_10	-0.037965429	0.011657703	-0.014140796	-0.003970438	-0.00139558	-0.000624394	-0.000757771	0.002023383	-0.000223184	0.001517816
23LL_Month3_11	-0.03872785	0.011304757	-0.014140265	-0.003993036	-0.001448095	-0.0004022	-0.00076896	0.002295911	-0.000427091	0.001310455
23LL_Month3_12	0.003872331	-0.003768269	-0.002628687	0.000802822	-0.00020663	0.002245329	-0.001868719	0.002730809	-0.000833633	0.001196873
23LL_Month3_13	-0.001310535	-0.018926262	0.00470361	0.002019927	5.97E-05	0.005818453	0.010191429	-0.001836934	-0.000168328	0.004552199
23LL_Month3_14	0.003553051	-0.004068008	-0.00221501	0.000991533	-0.000709677	0.001665842	-0.001895109	0.003196056	-0.000762903	0.001678277
23LL_Month3_15	-0.002896278	-0.001859082	0.002793512	0.000218952	-0.000810148	-0.001385378	0.002120237	-0.002916589	-0.000514222	-0.002782741
23LL_Month3_16	0.016667009	0.009609042	0.00892812	0.01050372	-0.015082594	-0.013321542	-0.004651785	0.012879839	-0.005903871	-0.030420789
23LL_Month3_17	0.004032569	-0.003321841	-0.002408874	0.000951838	-0.000351376	0.001839858	-0.002010518	0.002912005	-0.000751282	0.001727834
23LL_Month3_18	-0.044152206	0.011499867	-0.012401615	-0.004883559	0.001470786	0.000494765	-0.000643709	0.002379179	0.002727251	0.001592255
23LL_Month3_19	0.028361598	0.037681199	-0.00761622	0.008121322	-0.00999807	0.00380671	0.00512192	-0.001370601	0.015518747	0.01536062
23LL_Month3_1	-0.037965429	0.011657703	-0.014140796	-0.003970438	-0.00139558	-0.000624394	-0.000757771	0.002023383	-0.000223184	0.001517816
