Strain,Isolate,SNPs,Insertions,Deletions,MNPs,Complex,Synonymous_mutations,Non_Synonymous_mutations,Total_mutations,Colonies,Month,Days,Mutation_rate,Synonymous_mutation_rate,Non_synonymous_mutation_rate,Sex
AZ51,42N_Month6,65,0,16,0,0,0,75,81,24,Month6,181,1.34E-06,0,1.24E-06,female
AZ51,42R_Day7,14,0,0,0,0,1,0,14,24,Day7,7,6.01E-06,4.29E-07,0,female
AZ51,42R_Month3,16,0,0,0,0,0,16,16,21,Month3,90,6.10E-07,0,6.10E-07,female
AZ51,42R_Month6,9,0,0,0,0,3,6,9,24,Month6,181,1.49E-07,4.98E-08,9.95E-08,female
AZ51,43B_Day7,8,0,0,0,0,0,4,8,24,Day7,7,3.43E-06,0,1.72E-06,male
AZ51,43B_Month3,26,0,2,0,0,1,10,28,24,Month3,90,9.34E-07,3.34E-08,3.34E-07,male
AZ51,43B_Month6,31,0,5,0,0,3,16,36,24,Month6,181,5.97E-07,4.98E-08,2.65E-07,male
AZ51,43L_Day7,7,0,0,0,0,0,4,7,24,Day7,7,3.00E-06,0,1.72E-06,male
AZ51,43L_Month3,51,0,0,0,0,20,30,51,23,Month3,90,1.78E-06,6.96E-07,1.04E-06,male
AZ51,43L_Month6,79,0,0,0,1,10,57,80,24,Month6,181,1.33E-06,1.66E-07,9.46E-07,male
AZ51,43N_Day7,0,0,0,0,0,0,0,0,24,Day7,7,0,0,0,male
AZ51,43N_Month3,19,0,3,3,2,1,15,27,24,Month3,90,9.01E-07,3.34E-08,5.00E-07,male
AZ51,43N_Month6,22,0,3,1,7,3,18,33,24,Month6,181,5.47E-07,4.98E-08,2.99E-07,male
AZ51,43R_Day7,3,1,0,0,0,0,2,4,24,Day7,7,1.72E-06,0,8.58E-07,male
AZ51,43R_Month3,18,0,1,0,0,0,15,19,23,Month3,90,6.61E-07,0,5.22E-07,male
AZ51,43R_Month6,34,0,3,0,0,5,23,37,24,Month6,181,6.14E-07,8.30E-08,3.82E-07,male
AZ51,44B_Day7,1,0,0,0,0,0,0,1,24,Day7,7,4.29E-07,0,0,female
AZ51,44B_Month3,21,3,13,0,0,10,9,37,24,Month3,90,1.23E-06,3.34E-07,3.00E-07,female
AZ51,44B_Month6,23,0,28,0,9,1,37,60,23,Month6,181,1.04E-06,1.73E-08,6.41E-07,female
AZ51,44L_Day7,1,0,1,0,0,0,0,2,24,Day7,7,8.58E-07,0,0,female
AZ51,44L_Month3,7,0,24,0,0,0,31,31,24,Month3,90,1.03E-06,0,1.03E-06,female
AZ51,44L_Month6,11,0,23,0,0,0,34,34,23,Month6,181,5.89E-07,0,5.89E-07,female
AZ51,44N_Day7,0,0,0,0,0,0,0,0,24,Day7,7,0,0,0,female
AZ51,44N_Month1,10,0,0,0,0,0,9,10,22,Month1,34,9.63E-07,0,8.67E-07,female
AZ51,44N_Month3,7,4,0,0,0,1,6,11,24,Month3,90,3.67E-07,3.34E-08,2.00E-07,female
AZ51,44N_Month6,39,0,1,0,0,11,28,40,24,Month6,181,6.64E-07,1.82E-07,4.65E-07,female
AZ51,44R_Day3,1,0,0,0,0,0,1,1,24,Day3,3,1.00E-06,0,1.00E-06,female
AZ51,44R_Day7,1,0,0,0,0,1,0,1,24,Day7,7,4.29E-07,4.29E-07,0,female
AZ51,44R_Month1,94,14,11,0,0,4,90,119,48,Month1,34,5.25E-06,1.77E-07,3.97E-06,female
AZ51,44R_Month10,71,12,9,0,0,4,66,92,24,Month10,307,9.00E-07,3.91E-08,6.46E-07,female
AZ51,44R_Month3,25,19,0,0,0,0,25,44,24,Month3,90,1.47E-06,0,8.34E-07,female
AZ51,44R_Month6,60,6,5,0,0,1,49,71,23,Month6,181,1.23E-06,1.73E-08,8.48E-07,female
AZ51,45L_Day7,1,1,0,0,0,0,1,2,19,Day7,7,1.08E-06,0,5.42E-07,female
AZ51,45L_Month3,2,0,19,0,0,0,21,21,21,Month3,90,8.01E-07,0,8.01E-07,female
AZ51,45L_Month6,27,3,2,0,0,1,31,32,22,Month6,181,5.79E-07,1.81E-08,5.61E-07,female
AZ51,45N_Day7,4,1,0,0,0,0,3,5,24,Day7,7,2.14E-06,0,1.29E-06,female
AZ51,45N_Month3,15,8,1,0,0,3,19,24,18,Month3,90,1.07E-06,1.33E-07,8.45E-07,female
AZ51,45N_Month6,34,37,10,0,0,1,73,81,24,Month6,181,1.34E-06,1.66E-08,1.21E-06,female
AZ51,45R_Day7,6,0,0,0,0,0,6,6,24,Day7,7,2.57E-06,0,2.57E-06,female
AZ51,45R_Month3,1,0,2,0,0,0,2,3,22,Month3,90,1.09E-07,0,7.28E-08,female
AZ51,45R_Month6,3,0,0,0,0,3,0,3,24,Month6,181,4.98E-08,4.98E-08,0,female
AZ51,46L_Day7,2,0,0,0,0,0,1,2,19,Day7,7,1.08E-06,0,5.42E-07,female
AZ51,46L_Month3,16,1,2,0,0,0,14,19,23,Month3,90,6.61E-07,0,4.87E-07,female
AZ51,46L_Month6,87,0,0,0,0,1,84,87,17,Month6,181,2.04E-06,2.34E-08,1.97E-06,female
AZ51,46N_Day3,0,0,0,0,0,0,0,0,24,Day3,3,0,0,0,female
AZ51,46N_Day7,0,0,0,0,0,0,0,0,24,Day7,7,0,0,0,female
AZ51,46N_Month1,132,7,0,0,0,1,136,139,48,Month1,34,6.14E-06,4.42E-08,6.01E-06,female
AZ51,46N_Month10,123,7,0,0,0,1,129,130,24,Month10,307,1.27E-06,9.78E-09,1.26E-06,female
AZ51,46N_Month3,66,0,0,0,0,0,66,66,22,Month3,90,2.40E-06,0,2.40E-06,female
AZ51,46N_Month6,8,0,5,0,0,0,13,13,18,Month6,181,2.88E-07,0,2.88E-07,female
AZ51,46R_Day7,1,1,0,0,0,0,1,2,19,Day7,7,1.08E-06,0,5.42E-07,female
AZ51,46R_Month1,6,0,0,0,0,0,5,6,23,Month1,34,5.53E-07,0,4.61E-07,female
AZ51,46R_Month3,1,0,3,0,0,0,4,4,22,Month3,90,1.46E-07,0,1.46E-07,female
AZ51,46R_Month6,17,0,7,0,0,4,13,24,12,Month6,181,7.96E-07,1.33E-07,4.31E-07,female
