feature-id	short-id	qiita_sample_name	box_id	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	mouse	dam	sire	date_collected	bacteria_strain	extraction_method	extraction_kit	run	host_age_units	tube_id	plate
23B_Month3_2_S34_AZ20_mut	23B_Month3_2	12986.23B.Month3.2	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	2	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_20_S184_AZ20_mut	23B_Month3_20	12986.23B.Month3.20	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	20	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_21_S185_AZ20_mut	23B_Month3_21	12986.23B.Month3.21	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	21	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_22_S25_AZ20_mut	23B_Month3_22	12986.23B.Month3.22	4.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	22	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_23_S252_AZ20_mut	23B_Month3_23	12986.23B.Month3.23	4.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	23	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_24_S25_AZ20_mut	23B_Month3_24	12986.23B.Month3.24	4.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	24	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_3_S35_AZ20_mut	23B_Month3_3	12986.23B.Month3.3	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	3	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_4_S36_AZ20_mut	23B_Month3_4	12986.23B.Month3.4	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	4	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_5_S37_AZ20_mut	23B_Month3_5	12986.23B.Month3.5	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	5	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_6_S38_AZ20_mut	23B_Month3_6	12986.23B.Month3.6	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	6	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_7_S39_AZ20_mut	23B_Month3_7	12986.23B.Month3.7	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	7	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_8_S4_AZ20_mut	23B_Month3_8	12986.23B.Month3.8	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	8	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_9_S4_AZ20_mut	23B_Month3_9	12986.23B.Month3.9	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	9	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_1_S482_AZ20_mut	23B_Month6_1	12986.23B.Month6.1	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	1	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_10_S49_AZ20_mut	23B_Month6_10	12986.23B.Month6.10	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	10	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_11_S492_AZ20_mut	23B_Month6_11	12986.23B.Month6.11	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	11	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_12_S49_AZ20_mut	23B_Month6_12	12986.23B.Month6.12	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	12	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_13_S494_AZ20_mut	23B_Month6_13	12986.23B.Month6.13	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	13	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_14_S495_AZ20_mut	23B_Month6_14	12986.23B.Month6.14	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	14	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_15_S496_AZ20_mut	23B_Month6_15	12986.23B.Month6.15	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	15	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_16_S497_AZ20_mut	23B_Month6_16	12986.23B.Month6.16	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	16	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_17_S498_AZ20_mut	23B_Month6_17	12986.23B.Month6.17	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	17	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_18_S499_AZ20_mut	23B_Month6_18	12986.23B.Month6.18	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	18	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_19_S5_AZ20_mut	23B_Month6_19	12986.23B.Month6.19	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	19	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_2_S48_AZ20_mut	23B_Month6_2	12986.23B.Month6.2	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	2	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_20_S5_AZ20_mut	23B_Month6_20	12986.23B.Month6.20	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	20	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_21_S502_AZ20_mut	23B_Month6_21	12986.23B.Month6.21	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	21	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month6_22_S5_AZ20_mut	23B_Month6_22	12986.23B.Month6.22	6.0	23	Month6	1/16/18 10:00	7/12/17 0:00	RC	33.0	23B	22	5/2/17 0:00	23B	male	23B	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0			
