feature-id	short-id	qiita_sample_name	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_age_units	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	tube_id	mouse	dam	sire	date_collected	plate
41R_Month3_10_S15_AZ51_mut	41R_Month3_10	12986.41R.Month3.10	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41R	10	7/6/17	41R	male	41R_Month3_10	41R	A1	A	12/12/17	10
45R_Month3_22_S270_AZ51_mut	45R_Month3_22	12986.45R.Month3.22	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45R	22	7/3/17	45R	female	45R_Month3_22	45R	B1	B	12/12/17	15
43L_Month3_1_S3_AZ51_mut	43L_Month3_1	12986.43L.Month3.1	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43L	1	7/3/17	43L	male	43L_Month3_1	43L	B1	B	12/12/17	12
45L_Day7_21_S1396_AZ51_mut	45L_Day7_21	12986.45L.Day7.21	45	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	45L	21	7/3/17	45L	female	45L_Day7_21	45L	B1	B	9/20/17	8
41L_Month10_18_S618_AZ51_mut	41L_Month10_18	12986.41L.Month10.18	41	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	41L	18	7/6/17	41L	male	41L_Month10_18	41L	A1	A	7/17/18	26
41L_Month3_9_S1491_AZ51_mut	41L_Month3_9	12986.41L.Month3.9	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41L	9	7/6/17	41L	male	41L_Month3_9	41L	A1	A	12/12/17	10
46R_Month6_19_S726_AZ51_mut	46R_Month6_19	12986.46R.Month6.19	46	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	46R	19	7/3/17	46R	female	46R_Month6_19	46R	B1	B	3/13/18	21
43B_Day7_6_S143_AZ51_mut	43B_Day7_6	12986.43B.Day7.6	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43B	6	7/3/17	43B	male	43B_Day7_6	43B	B1	B	9/20/17	6
46N_Day3_24_S480_AZ51_mut	46N_Day3_24	12986.46N.Day3.24	46	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	46N	24	7/3/17	46N	female	46N_Day3_24	46N	B1	B	9/16/17	24
42N_Month3_11_S16_AZ51_mut	42N_Month3_11	12986.42N.Month3.11	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42N	11	7/6/17	42N	female	42N_Month3_11	42N	A1	A	12/12/17	11
44R_Month6_11_S1797_AZ51_mut	44R_Month6_11	12986.44R.Month6.11	44	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	44R	11	7/3/17	44R	female	44R_Month6_11	44R	A2	A	3/13/18	19
