feature-id	short-id	qiita_sample_name	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_age_units	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	tube_id	mouse	dam	sire	date_collected	plate
41B_Month1_19_S186_AZ51_mut	41B_Month1_19	12986.41B.Month1.19	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41B	19	7/6/17	41B	male	41B_Month1_19	41B	A1	A	10/17/17	23
41L_Day3_20_S442_AZ51_mut	41L_Day3_20	12986.41L.Day3.20	41	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	41L	20	7/6/17	41L	male	41L_Day3_20	41L	A1	A	9/16/17	24
41R_Day7_16_S32_AZ51_mut	41R_Day7_16	12986.41R.Day7.16	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41R	16	7/6/17	41R	male	41R_Day7_16	41R	A1	A	9/20/17	4
42N_Day7_13_S4_AZ51_mut	42N_Day7_13	12986.42N.Day7.13	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42N	13	7/6/17	42N	female	42N_Day7_13	42N	A1	A	9/20/17	5
44R_Day7_23_S278_AZ51_mut	44R_Day7_23	12986.44R.Day7.23	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44R	23	7/3/17	44R	female	44R_Day7_23	44R	A2	A	9/20/17	7
43R_Month6_15_S598_AZ51_mut	43R_Month6_15	12986.43R.Month6.15	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43R	15	7/3/17	43R	male	43R_Month6_15	43R	B1	B	3/13/18	18
45R_Month3_3_S213_AZ51_mut	45R_Month3_3	12986.45R.Month3.3	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45R	3	7/3/17	45R	female	45R_Month3_3	45R	B1	B	12/12/17	15
45L_Day7_2_S1339_AZ51_mut	45L_Day7_2	12986.45L.Day7.2	45	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	45L	2	7/3/17	45L	female	45L_Day7_2	45L	B1	B	9/20/17	8
44L_Month3_14_S108_AZ51_mut	44L_Month3_14	12986.44L.Month3.14	44	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	44L	14	7/3/17	44L	female	44L_Month3_14	44L	A2	A	12/12/17	13
44R_Month10_9_S645_AZ51_mut	44R_Month10_9	12986.44R.Month10.9	44	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	44R	9	7/3/17	44R	female	44R_Month10_9	44R	A2	A	7/17/18	26
46R_Month1_17_S1848_AZ51_mut	46R_Month1_17	12986.46R.Month1.17	46	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	46R	17	7/3/17	46R	female	46R_Month1_17	46R	B1	B	10/17/17	23
46N_Month6_17_S706_AZ51_mut	46N_Month6_17	12986.46N.Month6.17	46	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	46N	17	7/3/17	46N	female	46N_Month6_17	46N	B1	B	3/13/18	21
46N_Month1_21_S552_AZ51_mut	46N_Month1_21	12986.46N.Month1.21	46	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	46N	21	7/3/17	46N	female	46N_Month1_21	46N	B1	B	10/17/17	25
44L_Day7_13_S196_AZ51_mut	44L_Day7_13	12986.44L.Day7.13	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44L	13	7/3/17	44L	female	44L_Day7_13	44L	A2	A	9/20/17	7
41R_Day7_6_S335_AZ51_mut	41R_Day7_6	12986.41R.Day7.6	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41R	6	7/6/17	41R	male	41R_Day7_6	41R	A1	A	9/20/17	4
44L_Day7_23_S276_AZ51_mut	44L_Day7_23	12986.44L.Day7.23	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44L	23	7/3/17	44L	female	44L_Day7_23	44L	A2	A	9/20/17	7
41L_Month6_23_S468_AZ51_mut	41L_Month6_23	12986.41L.Month6.23	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41L	23	7/6/17	41L	male	41L_Month6_23	41L	A1	A	3/13/18	16
42R_Day7_18_S48_AZ51_mut	42R_Day7_18	12986.42R.Day7.18	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42R	18	7/6/17	42R	female	42R_Day7_18	42R	A1	A	9/20/17	5
44L_Month3_17_S132_AZ51_mut	44L_Month3_17	12986.44L.Month3.17	44	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	44L	17	7/3/17	44L	female	44L_Month3_17	44L	A2	A	12/12/17	13
43N_Month6_7_S625_AZ51_mut	43N_Month6_7	12986.43N.Month6.7	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43N	7	7/3/17	43N	male	43N_Month6_7	43N	B1	B	3/13/18	18
41N_Month6_13_S386_AZ51_mut	41N_Month6_13	12986.41N.Month6.13	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41N	13	7/6/17	41N	male	41N_Month6_13	41N	A1	A	3/13/18	16
46N_Month3_9_S257_AZ51_mut	46N_Month3_9	12986.46N.Month3.9	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46N	9	7/3/17	46N	female	46N_Month3_9	46N	B1	B	12/12/17	15
45L_Month6_1_S291_AZ51_mut	45L_Month6_1	12986.45L.Month6.1	45	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	45L	1	7/3/17	45L	female	45L_Month6_1	45L	B1	B	3/13/18	20
45R_Day7_6_S137_AZ51_mut	45R_Day7_6	12986.45R.Day7.6	45	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	45R	6	7/3/17	45R	female	45R_Day7_6	45R	B1	B	9/20/17	8
42R_Month6_21_S552_AZ51_mut	42R_Month6_21	12986.42R.Month6.21	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42R	21	7/6/17	42R	female	42R_Month6_21	42R	A1	A	3/13/18	17
45L_Month3_19_S1668_AZ51_mut	45L_Month3_19	12986.45L.Month3.19	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45L	19	7/3/17	45L	female	45L_Month3_19	45L	B1	B	12/12/17	14
43L_Month3_20_S60_AZ51_mut	43L_Month3_20	12986.43L.Month3.20	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43L	20	7/3/17	43L	male	43L_Month3_20	43L	B1	B	12/12/17	12
41R_Month3_7_S1479_AZ51_mut	41R_Month3_7	12986.41R.Month3.7	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41R	7	7/6/17	41R	male	41R_Month3_7	41R	A1	A	12/12/17	10
41LL_Month3_8_S1485_AZ51_mut	41LL_Month3_8	12986.41LL.Month3.8	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41LL	8	7/6/17	41LL	male	41LL_Month3_8	41LL	A1	A	12/12/17	10
41B_Day7_15_S18_AZ51_mut	41B_Day7_15	12986.41B.Day7.15	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41B	15	7/6/17	41B	male	41B_Day7_15	41B	A1	A	9/20/17	5
45N_Month6_5_S321_AZ51_mut	45N_Month6_5	12986.45N.Month6.5	45	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	45N	5	7/3/17	45N	female	45N_Month6_5	45N	B1	B	3/13/18	20
41N_Month1_18_S185_AZ51_mut	41N_Month1_18	12986.41N.Month1.18	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41N	18	7/6/17	41N	male	41N_Month1_18	41N	A1	A	10/17/17	23
41B_Day7_11_S81_AZ51_mut	41B_Day7_11	12986.41B.Day7.11	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41B	11	7/6/17	41B	male	41B_Day7_11	41B	A1	A	9/20/17	5
41B_Month1_20_S1868_AZ51_mut	41B_Month1_20	12986.41B.Month1.20	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41B	20	7/6/17	41B	male	41B_Month1_20	41B	A1	A	10/17/17	23
45N_Month3_23_S1698_AZ51_mut	45N_Month3_23	12986.45N.Month3.23	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45N	23	7/3/17	45N	female	45N_Month3_23	45N	B1	B	12/12/17	14
43B_Month3_23_S88_AZ51_mut	43B_Month3_23	12986.43B.Month3.23	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43B	23	7/3/17	43B	male	43B_Month3_23	43B	B1	B	12/12/17	12
41B_Day7_19_S50_AZ51_mut	41B_Day7_19	12986.41B.Day7.19	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41B	19	7/6/17	41B	male	41B_Day7_19	41B	A1	A	9/20/17	5
44B_Month3_12_S191_AZ51_mut	44B_Month3_12	12986.44B.Month3.12	44	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	44B	12	7/3/17	44B	female	44B_Month3_12	44B	A2	A	12/12/17	13
45N_Month3_1_S1617_AZ51_mut	45N_Month3_1	12986.45N.Month3.1	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45N	1	7/3/17	45N	female	45N_Month3_1	45N	B1	B	12/12/17	14
41R_Day7_18_S336_AZ51_mut	41R_Day7_18	12986.41R.Day7.18	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41R	18	7/6/17	41R	male	41R_Day7_18	41R	A1	A	9/20/17	4
41LL_Month3_20_S1486_AZ51_mut	41LL_Month3_20	12986.41LL.Month3.20	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41LL	20	7/6/17	41LL	male	41LL_Month3_20	41LL	A1	A	12/12/17	10
41N_Day7_11_S369_AZ51_mut	41N_Day7_11	12986.41N.Day7.11	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41N	11	7/6/17	41N	male	41N_Day7_11	41N	A1	A	9/20/17	4
43N_Day7_10_S169_AZ51_mut	43N_Day7_10	12986.43N.Day7.10	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43N	10	7/3/17	43N	male	43N_Day7_10	43N	B1	B	9/20/17	6
43N_Day7_19_S146_AZ51_mut	43N_Day7_19	12986.43N.Day7.19	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43N	19	7/3/17	43N	male	43N_Day7_19	43N	B1	B	9/20/17	6
42R_Month6_1_S487_AZ51_mut	42R_Month6_1	12986.42R.Month6.1	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42R	1	7/6/17	42R	female	42R_Month6_1	42R	A1	A	3/13/18	17
42R_Day7_4_S31_AZ51_mut	42R_Day7_4	12986.42R.Day7.4	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42R	4	7/6/17	42R	female	42R_Day7_4	42R	A1	A	9/20/17	5
45R_Month6_9_S357_AZ51_mut	45R_Month6_9	12986.45R.Month6.9	45	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	45R	9	7/3/17	45R	female	45R_Month6_9	45R	B1	B	3/13/18	20
42N_Month6_2_S491_AZ51_mut	42N_Month6_2	12986.42N.Month6.2	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42N	2	7/6/17	42N	female	42N_Month6_2	42N	A1	A	3/13/18	17
42R_Month6_11_S567_AZ51_mut	42R_Month6_11	12986.42R.Month6.11	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42R	11	7/6/17	42R	female	42R_Month6_11	42R	A1	A	3/13/18	17
44R_Month3_18_S142_AZ51_mut	44R_Month3_18	12986.44R.Month3.18	44	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	44R	18	7/3/17	44R	female	44R_Month3_18	44R	A2	A	12/12/17	13
46R_Day7_19_S340_AZ51_mut	46R_Day7_19	12986.46R.Day7.19	46	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	46R	19	7/3/17	46R	female	46R_Day7_19	46R	B1	B	9/20/17	9
46N_Day7_4_S1359_AZ51_mut	46N_Day7_4	12986.46N.Day7.4	46	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	46N	4	7/3/17	46N	female	46N_Day7_4	46N	B1	B	9/20/17	8
45R_Month3_12_S285_AZ51_mut	45R_Month3_12	12986.45R.Month3.12	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45R	12	7/3/17	45R	female	45R_Month3_12	45R	B1	B	12/12/17	15
44B_Day7_7_S247_AZ51_mut	44B_Day7_7	12986.44B.Day7.7	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44B	7	7/3/17	44B	female	44B_Day7_7	44B	A2	A	9/20/17	7
44L_Month6_22_S1788_AZ51_mut	44L_Month6_22	12986.44L.Month6.22	44	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	44L	22	7/3/17	44L	female	44L_Month6_22	44L	A2	A	3/13/18	19
43L_Day7_19_S148_AZ51_mut	43L_Day7_19	12986.43L.Day7.19	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43L	19	7/3/17	43L	male	43L_Day7_19	43L	B1	B	9/20/17	6
45R_Month6_18_S334_AZ51_mut	45R_Month6_18	12986.45R.Month6.18	45	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	45R	18	7/3/17	45R	female	45R_Month6_18	45R	B1	B	3/13/18	20
41L_Month6_13_S388_AZ51_mut	41L_Month6_13	12986.41L.Month6.13	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41L	13	7/6/17	41L	male	41L_Month6_13	41L	A1	A	3/13/18	16
43N_Month6_2_S585_AZ51_mut	43N_Month6_2	12986.43N.Month6.2	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43N	2	7/3/17	43N	male	43N_Month6_2	43N	B1	B	3/13/18	18
43L_Month6_15_S596_AZ51_mut	43L_Month6_15	12986.43L.Month6.15	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43L	15	7/3/17	43L	male	43L_Month6_15	43L	B1	B	3/13/18	18
41N_Day7_12_S377_AZ51_mut	41N_Day7_12	12986.41N.Day7.12	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41N	12	7/6/17	41N	male	41N_Day7_12	41N	A1	A	9/20/17	4
41B_Month6_13_S482_AZ51_mut	41B_Month6_13	12986.41B.Month6.13	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41B	13	7/6/17	41B	male	41B_Month6_13	41B	A1	A	3/13/18	17
46R_Month1_10_S1887_AZ51_mut	46R_Month1_10	12986.46R.Month1.10	46	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	46R	10	7/3/17	46R	female	46R_Month1_10	46R	B1	B	10/17/17	23
42L_Month3_13_S1526_AZ51_mut	42L_Month3_13	12986.42L.Month3.13	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42L	13	7/6/17	42L	female	42L_Month3_13	42L	A1	A	12/12/17	11
44B_Month6_2_S1727_AZ51_mut	44B_Month6_2	12986.44B.Month6.2	44	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	44B	2	7/3/17	44B	female	44B_Month6_2	44B	A2	A	3/13/18	19
43L_Month3_10_S75_AZ51_mut	43L_Month3_10	12986.43L.Month3.10	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43L	10	7/3/17	43L	male	43L_Month3_10	43L	B1	B	12/12/17	12
44R_Month6_5_S1749_AZ51_mut	44R_Month6_5	12986.44R.Month6.5	44	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	44R	5	7/3/17	44R	female	44R_Month6_5	44R	A2	A	3/13/18	19
44B_Day7_6_S239_AZ51_mut	44B_Day7_6	12986.44B.Day7.6	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44B	6	7/3/17	44B	female	44B_Day7_6	44B	A2	A	9/20/17	7
44N_Day7_21_S258_AZ51_mut	44N_Day7_21	12986.44N.Day7.21	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44N	21	7/3/17	44N	female	44N_Day7_21	44N	A2	A	9/20/17	7
41R_Day7_23_S376_AZ51_mut	41R_Day7_23	12986.41R.Day7.23	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41R	23	7/6/17	41R	male	41R_Day7_23	41R	A1	A	9/20/17	4
44R_Month1_18_S526_AZ51_mut	44R_Month1_18	12986.44R.Month1.18	44	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	44R	18	7/3/17	44R	female	44R_Month1_18	44R	A2	A	10/17/17	25
41L_Day3_18_S426_AZ51_mut	41L_Day3_18	12986.41L.Day3.18	41	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	41L	18	7/6/17	41L	male	41L_Day3_18	41L	A1	A	9/16/17	24
45N_Month6_10_S361_AZ51_mut	45N_Month6_10	12986.45N.Month6.10	45	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	45N	10	7/3/17	45N	female	45N_Month6_10	45N	B1	B	3/13/18	20
41N_Month3_3_S1441_AZ51_mut	41N_Month3_3	12986.41N.Month3.3	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41N	3	7/6/17	41N	male	41N_Month3_3	41N	A1	A	12/12/17	10
44R_Day3_23_S470_AZ51_mut	44R_Day3_23	12986.44R.Day3.23	44	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	44R	23	7/3/17	44R	female	44R_Day3_23	44R	A2	A	9/16/17	24
41B_Month6_7_S529_AZ51_mut	41B_Month6_7	12986.41B.Month6.7	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41B	7	7/6/17	41B	male	41B_Month6_7	41B	A1	A	3/13/18	17
44R_Month10_20_S638_AZ51_mut	44R_Month10_20	12986.44R.Month10.20	44	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	44R	20	7/3/17	44R	female	44R_Month10_20	44R	A2	A	7/17/18	26
42R_Month3_14_S1536_AZ51_mut	42R_Month3_14	12986.42R.Month3.14	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42R	14	7/6/17	42R	female	42R_Month3_14	42R	A1	A	12/12/17	11
41LL_Month6_9_S453_AZ51_mut	41LL_Month6_9	12986.41LL.Month6.9	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41LL	9	7/6/17	41LL	male	41LL_Month6_9	41LL	A1	A	3/13/18	16
46N_Month10_7_S631_AZ51_mut	46N_Month10_7	12986.46N.Month10.7	46	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	46N	7	7/3/17	46N	female	46N_Month10_7	46N	B1	B	7/17/18	26
43B_Month3_6_S47_AZ51_mut	43B_Month3_6	12986.43B.Month3.6	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43B	6	7/3/17	43B	male	43B_Month3_6	43B	B1	B	12/12/17	12
43B_Day7_18_S144_AZ51_mut	43B_Day7_18	12986.43B.Day7.18	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43B	18	7/3/17	43B	male	43B_Day7_18	43B	B1	B	9/20/17	6
45R_Month3_1_S197_AZ51_mut	45R_Month3_1	12986.45R.Month3.1	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45R	1	7/3/17	45R	female	45R_Month3_1	45R	B1	B	12/12/17	15
43L_Month6_11_S659_AZ51_mut	43L_Month6_11	12986.43L.Month6.11	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43L	11	7/3/17	43L	male	43L_Month6_11	43L	B1	B	3/13/18	18
46R_Month6_8_S733_AZ51_mut	46R_Month6_8	12986.46R.Month6.8	46	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	46R	8	7/3/17	46R	female	46R_Month6_8	46R	B1	B	3/13/18	21
42N_Month6_20_S540_AZ51_mut	42N_Month6_20	12986.42N.Month6.20	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42N	20	7/6/17	42N	female	42N_Month6_20	42N	A1	A	3/13/18	17
41N_Month6_24_S474_AZ51_mut	41N_Month6_24	12986.41N.Month6.24	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41N	24	7/6/17	41N	male	41N_Month6_24	41N	A1	A	3/13/18	16
42L_Day7_21_S70_AZ51_mut	42L_Day7_21	12986.42L.Day7.21	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42L	21	7/6/17	42L	female	42L_Day7_21	42L	A1	A	9/20/17	5
44R_Month10_19_S630_AZ51_mut	44R_Month10_19	12986.44R.Month10.19	44	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	44R	19	7/3/17	44R	female	44R_Month10_19	44R	A2	A	7/17/18	26
45R_Day7_1_S1_AZ51_mut	45R_Day7_1	12986.45R.Day7.1	45	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	45R	1	7/3/17	45R	female	45R_Day7_1	45R	B1	B	9/20/17	8
41R_Day3_15_S404_AZ51_mut	41R_Day3_15	12986.41R.Day3.15	41	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	41R	15	7/6/17	41R	male	41R_Day3_15	41R	A1	A	9/16/17	24
42N_Day7_3_S19_AZ51_mut	42N_Day7_3	12986.42N.Day7.3	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42N	3	7/6/17	42N	female	42N_Day7_3	42N	A1	A	9/20/17	5
42R_Month6_2_S495_AZ51_mut	42R_Month6_2	12986.42R.Month6.2	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42R	2	7/6/17	42R	female	42R_Month6_2	42R	A1	A	3/13/18	17
44B_Month6_13_S172_AZ51_mut	44B_Month6_13	12986.44B.Month6.13	44	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	44B	13	7/3/17	44B	female	44B_Month6_13	44B	A2	A	3/13/18	19
42R_Day7_7_S55_AZ51_mut	42R_Day7_7	12986.42R.Day7.7	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42R	7	7/6/17	42R	female	42R_Day7_7	42R	A1	A	9/20/17	5
43R_Month6_1_S581_AZ51_mut	43R_Month6_1	12986.43R.Month6.1	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43R	1	7/3/17	43R	male	43R_Month6_1	43R	B1	B	3/13/18	18
42L_Month6_24_S574_AZ51_mut	42L_Month6_24	12986.42L.Month6.24	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42L	24	7/6/17	42L	female	42L_Month6_24	42L	A1	A	3/13/18	17
43B_Month3_1_S7_AZ51_mut	43B_Month3_1	12986.43B.Month3.1	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43B	1	7/3/17	43B	male	43B_Month3_1	43B	B1	B	12/12/17	12
41L_Day3_16_S410_AZ51_mut	41L_Day3_16	12986.41L.Day3.16	41	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	41L	16	7/6/17	41L	male	41L_Day3_16	41L	A1	A	9/16/17	24
44N_Month6_13_S1714_AZ51_mut	44N_Month6_13	12986.44N.Month6.13	44	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	44N	13	7/3/17	44N	female	44N_Month6_13	44N	A2	A	3/13/18	19
42L_Month6_2_S493_AZ51_mut	42L_Month6_2	12986.42L.Month6.2	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42L	2	7/6/17	42L	female	42L_Month6_2	42L	A1	A	3/13/18	17
42R_Month6_6_S527_AZ51_mut	42R_Month6_6	12986.42R.Month6.6	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42R	6	7/6/17	42R	female	42R_Month6_6	42R	A1	A	3/13/18	17
44B_Month6_22_S1792_AZ51_mut	44B_Month6_22	12986.44B.Month6.22	44	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	44B	22	7/3/17	44B	female	44B_Month6_22	44B	A2	A	3/13/18	19
42L_Month6_14_S494_AZ51_mut	42L_Month6_14	12986.42L.Month6.14	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42L	14	7/6/17	42L	female	42L_Month6_14	42L	A1	A	3/13/18	17
41LL_Day7_24_S382_AZ51_mut	41LL_Day7_24	12986.41LL.Day7.24	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41LL	24	7/6/17	41LL	male	41LL_Day7_24	41LL	A1	A	9/20/17	4
44L_Day7_10_S267_AZ51_mut	44L_Day7_10	12986.44L.Day7.10	44	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	44L	10	7/3/17	44L	female	44L_Day7_10	44L	A2	A	9/20/17	7
46N_Month3_17_S226_AZ51_mut	46N_Month3_17	12986.46N.Month3.17	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46N	17	7/3/17	46N	female	46N_Month3_17	46N	B1	B	12/12/17	15
42N_Month3_19_S1572_AZ51_mut	42N_Month3_19	12986.42N.Month3.19	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42N	19	7/6/17	42N	female	42N_Month3_19	42N	A1	A	12/12/17	11
46N_Day3_16_S416_AZ51_mut	46N_Day3_16	12986.46N.Day3.16	46	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	46N	16	7/3/17	46N	female	46N_Day3_16	46N	B1	B	9/16/17	24
41B_Month6_4_S505_AZ51_mut	41B_Month6_4	12986.41B.Month6.4	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41B	4	7/6/17	41B	male	41B_Month6_4	41B	A1	A	3/13/18	17
44N_Month1_18_S1854_AZ51_mut	44N_Month1_18	12986.44N.Month1.18	44	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	44N	18	7/3/17	44N	female	44N_Month1_18	44N	A2	A	10/17/17	23
41L_Month10_7_S625_AZ51_mut	41L_Month10_7	12986.41L.Month10.7	41	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	41L	7	7/6/17	41L	male	41L_Month10_7	41L	A1	A	7/17/18	26
44L_Month3_18_S140_AZ51_mut	44L_Month3_18	12986.44L.Month3.18	44	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	44L	18	7/3/17	44L	female	44L_Month3_18	44L	A2	A	12/12/17	13
41L_Month1_8_S537_AZ51_mut	41L_Month1_8	12986.41L.Month1.8	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41L	8	7/6/17	41L	male	41L_Month1_8	41L	A1	A	10/17/17	25
41R_Day7_13_S296_AZ51_mut	41R_Day7_13	12986.41R.Day7.13	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41R	13	7/6/17	41R	male	41R_Day7_13	41R	A1	A	9/20/17	4
41L_Day7_9_S355_AZ51_mut	41L_Day7_9	12986.41L.Day7.9	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41L	9	7/6/17	41L	male	41L_Day7_9	41L	A1	A	9/20/17	4
45R_Month6_6_S333_AZ51_mut	45R_Month6_6	12986.45R.Month6.6	45	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	45R	6	7/3/17	45R	female	45R_Month6_6	45R	B1	B	3/13/18	20
44R_Day3_2_S397_AZ51_mut	44R_Day3_2	12986.44R.Day3.2	44	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	44R	2	7/3/17	44R	female	44R_Day3_2	44R	A2	A	9/16/17	24
45L_Month3_18_S166_AZ51_mut	45L_Month3_18	12986.45L.Month3.18	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45L	18	7/3/17	45L	female	45L_Month3_18	45L	B1	B	12/12/17	14
43R_Month6_9_S645_AZ51_mut	43R_Month6_9	12986.43R.Month6.9	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43R	9	7/3/17	43R	male	43R_Month6_9	43R	B1	B	3/13/18	18
44N_Month1_19_S1862_AZ51_mut	44N_Month1_19	12986.44N.Month1.19	44	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	44N	19	7/3/17	44N	female	44N_Month1_19	44N	A2	A	10/17/17	23
42N_Month3_2_S1531_AZ51_mut	42N_Month3_2	12986.42N.Month3.2	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42N	2	7/6/17	42N	female	42N_Month3_2	42N	A1	A	12/12/17	11
