	41B_Day7	41B_Month1	41B_Month3	41B_Month6	41LL_Day7	41LL_Month3	41LL_Month6	41L_Day3	41L_Day7	41L_Month1	41L_Month10	41L_Month3	41L_Month6	41N_Day7	41N_Month1	41N_Month3	41N_Month6	41R_Day3	41R_Day7	41R_Month1	41R_Month10	41R_Month3	41R_Month6	42L_Day7	42L_Month3	42L_Month6	42N_Day7	42N_Month3	42N_Month6	42R_Day7	42R_Month3	42R_Month6	43B_Day7	43B_Month6	43L_Day7	43L_Month6	43N_Day7	43N_Month6	43R_Day7	43R_Month6	44B_Day7	44B_Month6	44L_Day7	44L_Month6	44N_Day7	44N_Month1	44N_Month6	44R_Day3	44R_Day7	44R_Month1	44R_Month10	44R_Month6	45L_Day7	45L_Month3	45N_Day7	45N_Month3	45R_Day7	46L_Day7	46L_Month6	46N_Day3	46N_Day7	46N_Month1	46N_Month10	46N_Month6	46R_Day7	46R_Month1	46R_Month6
hha	24	0	19	22	18	19	24	23	21	21	19	14	22	12	3	17	24	23	18	22	21	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	2	21	24	24	21	23	17	22	21	24	16	24	17	20	22	24	19	23	21	19	6	21
group_223	24	10	20	21	17	19	22	23	19	21	22	14	20	11	12	18	21	23	18	22	23	18	18	24	16	18	24	18	19	23	17	20	23	23	24	24	24	22	24	23	24	19	24	15	24	10	17	23	24	21	24	14	20	19	22	17	24	17	20	22	24	19	23	20	19	16	18
group_22	23	10	18	21	18	17	23	22	20	21	23	14	22	9	12	17	24	23	18	22	23	18	23	24	15	18	23	18	20	24	17	20	24	22	23	23	23	23	23	24	23	20	23	17	22	9	20	23	24	20	21	17	21	21	22	18	23	17	18	21	23	17	22	18	19	15	18
group_276	24	4	17	22	18	18	24	23	21	21	20	13	21	12	7	16	24	22	16	21	23	18	23	22	15	18	24	18	20	23	16	20	24	24	22	23	24	24	23	24	24	20	23	16	24	7	21	22	24	20	20	17	20	18	23	17	24	17	20	21	23	18	23	18	18	14	16
group_243	24	4	16	22	18	17	24	23	21	21	20	12	21	11	7	15	24	22	18	21	23	18	23	21	16	18	24	18	19	23	17	20	24	24	21	23	24	24	21	24	24	19	23	16	24	7	21	23	24	20	21	15	20	18	23	17	24	17	20	21	24	18	23	18	18	13	16
group_267	24	10	19	22	15	19	22	21	16	20	23	15	22	5	12	18	24	21	10	16	23	20	23	24	16	12	24	19	18	24	18	16	24	24	24	24	24	24	24	24	24	19	24	17	24	9	19	22	24	19	24	16	22	21	24	18	23	17	18	22	24	11	15	21	19	13	14
group_25	24	8	18	21	18	15	24	22	20	21	22	15	21	8	9	17	24	21	13	18	24	20	23	24	14	14	24	18	17	24	16	18	24	21	24	23	24	23	22	24	24	18	24	16	24	8	18	22	24	20	24	17	22	19	22	16	24	17	17	21	23	18	21	18	19	10	16
group_255	24	4	19	21	17	19	21	21	19	13	17	14	19	11	4	17	24	22	16	16	22	19	22	24	15	18	24	18	19	24	18	19	24	24	24	23	24	24	24	24	24	20	24	17	24	5	21	24	24	16	24	17	22	21	23	15	24	17	20	22	24	15	22	21	18	8	19
group_271	24	9	17	21	18	15	24	22	20	21	23	14	21	8	9	17	24	21	13	18	24	19	23	24	15	14	24	17	17	24	16	18	24	21	24	22	24	23	22	24	24	18	24	15	23	9	18	22	24	20	24	17	22	19	22	16	24	17	17	21	23	18	21	18	19	10	16
group_15	23	0	19	20	17	19	22	22	20	21	19	14	21	9	3	18	24	23	17	22	20	18	23	24	15	18	23	18	20	24	18	19	24	21	23	22	22	23	23	24	23	20	23	17	22	2	20	23	24	21	22	17	21	21	22	16	23	17	18	22	23	18	22	18	19	4	20
