	observed_features
28R_Month3_19	22
28R_Month3_1	11
28R_Month3_20	21
28R_Month3_21	22
28R_Month3_22	22
28R_Month3_23	21
28R_Month3_24	22
28R_Month3_2	11
28R_Month3_3	11
28R_Month3_4	11
28R_Month3_5	12
28R_Month3_6	22
28R_Month3_7	22
28R_Month3_8	21
28R_Month3_9	11
28R_Month6_10	22
28R_Month6_11	22
28R_Month6_12	22
28R_Month6_13	20
28R_Month6_14	21
28R_Month6_15	21
28R_Month6_16	22
28R_Month6_17	22
28R_Month6_18	22
28R_Month6_19	21
28R_Month6_1	22
28R_Month6_20	17
28R_Month6_21	22
28R_Month6_22	22
28R_Month6_23	34
28R_Month6_24	22
28R_Month6_2	21
28R_Month6_3	21
28R_Month6_4	22
28R_Month6_5	22
28R_Month6_6	21
28R_Month6_7	22
28R_Month6_8	22
28R_Month6_9	21
29B_Day7_10	11
29B_Day7_11	21
29B_Day7_12	11
29B_Day7_14	27
29B_Day7_15	12
29B_Day7_16	12
29B_Day7_17	22
29B_Day7_18	12
29B_Day7_19	12
29B_Day7_1	13
29B_Day7_20	16
29B_Day7_21	21
29B_Day7_22	22
29B_Day7_23	21
29B_Day7_24	12
29B_Day7_2	11
29B_Day7_3	12
29B_Day7_4	12
29B_Day7_5	12
29B_Day7_6	17
29B_Day7_7	12
29B_Day7_8	11
29B_Day7_9	11
29LL_Day7_10	10
29LL_Day7_11	12
29LL_Day7_12	12
29LL_Day7_13	34
29LL_Day7_14	14
29LL_Day7_15	12
29LL_Day7_16	33
29LL_Day7_17	50
29LL_Day7_18	17
29LL_Day7_19	12
29LL_Day7_1	22
29LL_Day7_20	21
29LL_Day7_21	16
29LL_Day7_22	24
29LL_Day7_23	51
29LL_Day7_24	14
29LL_Day7_2	11
29LL_Day7_3	12
29LL_Day7_4	11
29LL_Day7_5	5
29LL_Day7_6	12
29LL_Day7_7	12
29LL_Day7_8	22
29LL_Day7_9	21
29LL_Month3_10	353
29LL_Month3_11	364
29LL_Month3_13	22
29LL_Month3_14	21
29LL_Month3_15	21
29LL_Month3_16	22
29LL_Month3_17	20
29LL_Month3_18	20
29LL_Month3_19	22
29LL_Month3_1	21
29LL_Month3_20	21
29LL_Month3_21	23
29LL_Month3_22	21
29LL_Month3_23	22
29LL_Month3_24	25
29LL_Month3_2	22
29LL_Month3_3	22
29LL_Month3_4	4
29LL_Month3_5	12
29LL_Month3_6	10
29LL_Month3_7	12
29LL_Month3_8	5
29LL_Month3_9	10
29LL_Month6_10	22
29LL_Month6_11	22
29LL_Month6_12	20
29LL_Month6_13	21
29LL_Month6_14	22
29LL_Month6_15	22
29LL_Month6_16	22
29LL_Month6_17	21
29LL_Month6_18	22
29LL_Month6_1	21
29LL_Month6_2	22
29LL_Month6_3	22
29LL_Month6_4	22
29LL_Month6_5	22
29LL_Month6_6	22
29LL_Month6_7	22
29LL_Month6_9	21
29L_Day7_10	22
29L_Day7_11	11
29L_Day7_12	21
29L_Day7_13	17
29L_Day7_14	71
29L_Day7_15	14
29L_Day7_16	53
29L_Day7_17	12
29L_Day7_18	29
29L_Day7_19	12
29L_Day7_1	17
29L_Day7_20	13
29L_Day7_21	12
29L_Day7_22	40
29L_Day7_23	12
29L_Day7_24	22
29L_Day7_2	17
29L_Day7_3	22
29L_Day7_4	12
29L_Day7_5	17
29L_Day7_6	22
29L_Day7_7	22
29L_Day7_8	12
29L_Day7_9	12
29N_Day7_10	22
29N_Day7_12	21
29N_Day7_1	21
29N_Day7_2	22
29N_Day7_3	22
29N_Day7_5	17
29N_Day7_6	22
29N_Day7_8	11
29N_Day7_9	17
29N_Month3_1	12
29R_Day7_10	17
29R_Day7_11	12
29R_Day7_12	11
29R_Day7_1	11
29R_Day7_2	12
29R_Day7_3	21
29R_Day7_4	12
29R_Day7_5	12
29R_Day7_6	22
29R_Day7_7	13
29R_Day7_8	12
29R_Day7_9	12
29R_Month3_10	11
29R_Month3_11	21
29R_Month3_12	22
29R_Month3_13	22
29R_Month3_14	22
29R_Month3_15	21
29R_Month3_16	22
29R_Month3_17	22
29R_Month3_18	21
29R_Month3_19	22
29R_Month3_1	5
29R_Month3_20	29
29R_Month3_21	22
29R_Month3_22	21
29R_Month3_23	22
29R_Month3_24	22
29R_Month3_2	21
29R_Month3_3	23
29R_Month3_4	27
29R_Month3_5	22
29R_Month3_6	21
29R_Month3_7	22
29R_Month3_8	22
29R_Month3_9	12
30N_Day7_10	10
30N_Day7_11	11
30N_Day7_12	21
30N_Day7_13	12
30N_Day7_14	21
30N_Day7_15	12
30N_Day7_16	16
30N_Day7_17	16
30N_Day7_18	15
30N_Day7_19	25
30N_Day7_1	11
30N_Day7_20	22
30N_Day7_21	21
30N_Day7_22	12
30N_Day7_23	12
30N_Day7_24	22
30N_Day7_2	41
30N_Day7_3	12
30N_Day7_4	10
30N_Day7_5	22
30N_Day7_6	12
30N_Day7_7	10
30N_Day7_8	10
30N_Day7_9	11
AZ20_reference	12
