	observed_features
43R_Day7_23	71
43R_Day7_24	67
43R_Day7_2	71
43R_Day7_3	71
43R_Day7_4	71
43R_Day7_5	62
43R_Day7_6	70
43R_Day7_7	71
43R_Day7_8	63
43R_Day7_9	63
43R_Month6_10	139
43R_Month6_11	139
43R_Month6_12	139
43R_Month6_13	139
43R_Month6_14	71
43R_Month6_15	139
43R_Month6_16	71
43R_Month6_17	139
43R_Month6_18	100
43R_Month6_19	139
43R_Month6_1	71
43R_Month6_20	100
43R_Month6_21	71
43R_Month6_22	139
43R_Month6_23	139
43R_Month6_24	139
43R_Month6_2	70
43R_Month6_3	71
43R_Month6_4	70
43R_Month6_5	71
43R_Month6_6	71
43R_Month6_7	111
43R_Month6_8	75
43R_Month6_9	71
44B_Day7_10	63
44B_Day7_11	63
44B_Day7_12	63
44B_Day7_13	71
44B_Day7_14	63
44B_Day7_15	63
44B_Day7_16	63
44B_Day7_17	71
44B_Day7_18	71
44B_Day7_19	71
44B_Day7_1	67
44B_Day7_20	71
44B_Day7_21	63
44B_Day7_22	78
44B_Day7_23	78
44B_Day7_24	63
44B_Day7_2	63
44B_Day7_3	63
44B_Day7_4	63
44B_Day7_5	63
44B_Day7_6	63
44B_Day7_7	71
44B_Day7_8	63
44B_Day7_9	73
44B_Month6_10	7
44B_Month6_11	8
44B_Month6_12	134
44B_Month6_13	71
44B_Month6_14	71
44B_Month6_15	71
44B_Month6_16	71
44B_Month6_17	71
44B_Month6_18	71
44B_Month6_19	71
44B_Month6_1	71
44B_Month6_20	71
44B_Month6_21	71
44B_Month6_22	8
44B_Month6_23	71
44B_Month6_24	71
44B_Month6_2	63
44B_Month6_3	71
44B_Month6_4	71
44B_Month6_5	71
44B_Month6_6	70
44B_Month6_7	71
44B_Month6_8	71
44B_Month6_9	7
44L_Day7_10	73
44L_Day7_11	63
44L_Day7_12	63
44L_Day7_13	67
44L_Day7_14	71
44L_Day7_15	63
44L_Day7_16	63
44L_Day7_17	71
44L_Day7_18	63
44L_Day7_19	71
44L_Day7_1	71
44L_Day7_20	70
44L_Day7_21	63
44L_Day7_22	71
44L_Day7_23	63
44L_Day7_24	63
44L_Day7_2	61
44L_Day7_3	63
44L_Day7_4	71
44L_Day7_5	71
44L_Day7_6	71
44L_Day7_7	63
44L_Day7_8	71
44L_Day7_9	71
44L_Month6_10	8
44L_Month6_11	8
44L_Month6_12	8
44L_Month6_13	68
44L_Month6_14	71
44L_Month6_15	75
44L_Month6_16	71
44L_Month6_17	71
44L_Month6_18	71
44L_Month6_19	8
44L_Month6_1	71
44L_Month6_20	71
44L_Month6_21	71
44L_Month6_22	71
44L_Month6_23	67
44L_Month6_24	8
44L_Month6_2	71
44L_Month6_3	71
44L_Month6_4	71
44L_Month6_5	70
44L_Month6_6	71
44L_Month6_7	69
44L_Month6_8	69
44L_Month6_9	8
44N_Day7_10	63
44N_Day7_11	63
44N_Day7_12	63
44N_Day7_13	71
44N_Day7_14	71
44N_Day7_15	71
44N_Day7_16	63
44N_Day7_17	67
44N_Day7_18	71
44N_Day7_19	71
44N_Day7_1	71
44N_Day7_20	63
44N_Day7_21	63
44N_Day7_22	73
44N_Day7_23	71
44N_Day7_24	63
44N_Day7_2	60
44N_Day7_3	63
44N_Day7_4	71
44N_Day7_5	71
44N_Day7_6	71
44N_Day7_7	71
44N_Day7_8	71
44N_Day7_9	71
44N_Month1_10	64
44N_Month1_11	8
44N_Month1_12	7
44N_Month1_13	610
44N_Month1_14	895
44N_Month1_15	1017
44N_Month1_16	953
44N_Month1_17	1129
44N_Month1_18	1619
44N_Month1_19	8
44N_Month1_1	1110
44N_Month1_20	7
44N_Month1_21	8
44N_Month1_22	8
44N_Month1_23	8
44N_Month1_2	8
44N_Month1_3	1053
44N_Month1_4	7
44N_Month1_5	8
44N_Month1_6	71
44N_Month1_7	8
44N_Month1_8	8
44N_Month1_9	8
44N_Month6_10	71
44N_Month6_11	8
44N_Month6_12	68
44N_Month6_13	71
44N_Month6_14	134
44N_Month6_15	71
44N_Month6_16	71
44N_Month6_17	71
44N_Month6_18	71
44N_Month6_19	71
44N_Month6_1	71
44N_Month6_20	71
44N_Month6_21	71
44N_Month6_22	65
44N_Month6_23	8
44N_Month6_24	7
44N_Month6_2	71
44N_Month6_3	71
44N_Month6_4	70
44N_Month6_5	71
44N_Month6_6	71
44N_Month6_7	71
44N_Month6_8	67
44N_Month6_9	71
44R_Day3_10	66
44R_Day3_11	81
44R_Day3_12	81
44R_Day3_13	71
44R_Day3_14	71
44R_Day3_15	81
44R_Day3_16	71
44R_Day3_17	70
44R_Day3_18	71
44R_Day3_19	71
44R_Day3_1	71
44R_Day3_20	69
44R_Day3_21	71
44R_Day3_22	55
44R_Day3_23	63
44R_Day3_24	63
44R_Day3_2	71
44R_Day3_3	81
44R_Day3_4	71
44R_Day3_5	71
44R_Day3_6	71
44R_Day3_7	71
44R_Day3_8	71
44R_Day3_9	71
44R_Day7_10	71
44R_Day7_11	63
44R_Day7_12	63
44R_Day7_13	61
44R_Day7_14	63
44R_Day7_15	63
44R_Day7_16	71
44R_Day7_17	63
44R_Day7_18	70
44R_Day7_19	63
44R_Day7_1	63
44R_Day7_20	71
44R_Day7_21	63
44R_Day7_22	71
44R_Day7_23	63
44R_Day7_24	63
44R_Day7_2	63
44R_Day7_3	71
44R_Day7_4	63
44R_Day7_5	63
44R_Day7_6	63
44R_Day7_7	71
44R_Day7_8	71
44R_Day7_9	71
44R_Month10_10	65
44R_Month10_11	209
44R_Month10_12	71
44R_Month10_13	81
44R_Month10_14	803
44R_Month10_15	108
44R_Month10_16	81
44R_Month10_17	71
44R_Month10_18	584
44R_Month10_19	79
44R_Month10_1	641
44R_Month10_20	71
44R_Month10_21	73
44R_Month10_22	69
44R_Month10_23	69
44R_Month10_24	71
44R_Month10_2	199
44R_Month10_3	186
44R_Month10_4	372
44R_Month10_5	267
44R_Month10_6	386
44R_Month10_7	71
44R_Month10_8	71
44R_Month10_9	81
44R_Month1_10	206
44R_Month1_11	206
44R_Month1_12	206
44R_Month1_13	70
44R_Month1_14	76
44R_Month1_15	94
44R_Month1_16	69
44R_Month1_17	73
44R_Month1_18	93
44R_Month1_19	96
44R_Month1_1	10
44R_Month1_20	81
44R_Month1_21	71
